Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Myanmar,MMR,2018,46.5323258218492,4.89992189,1.92289,0.0588099993765354,0.782551804921698,1298.21310320785
Myanmar,MMR,2019,46.396472048483,4.07903337,1.93208,0.0834100022912025,0.783736512344991,1425.98954211903
Myanmar,MMR,2020,46.3134094770448,4.38807583,,0.155670002102852,,1490.21683548367
Mongolia,MNG,2000,62.8796894489998,6.07605076,5.55037,0.187570005655289,17.790193000277,476.02755082717
Mongolia,MNG,2001,60.0556081479177,5.4423995,,0.2674899995327,16.8879143400998,524.453483552485
Mongolia,MNG,2002,57.2868846352447,5.49190998,7.21078,0.251729995012283,17.3398347759287,570.249213248399
Mongolia,MNG,2003,54.6740050910007,4.29768944,,0.251800000667572,15.7524825677243,643.168068921658
Mongolia,MNG,2004,52.3149219210631,4.30204487,4.32573,0.267769992351532,,794.154552001815
Mongolia,MNG,2005,50.301413827289,3.86456275,,0.237760007381439,,994.90010913241
Mongolia,MNG,2006,48.6916914180332,3.74971509,,0.191210001707077,7.34228882378481,1329.89179579053
Mongolia,MNG,2007,47.5020153723875,4.07522774,4.69013,0.238269999623299,8.65001776043708,1627.68787743359
Mongolia,MNG,2008,46.7362412620023,4.55693007,,0.336670011281967,13.6818744268269,2127.42678594737
Mongolia,MNG,2009,46.4101397882339,4.45980072,5.14485,0.304780006408691,16.6087941180713,1703.32756790019
Mongolia,MNG,2010,46.4948711694247,3.73945642,4.6451,0.244379997253418,13.1430602020587,2625.21881402433
Mongolia,MNG,2011,46.6487262591356,3.58612084,4.60903,0.230540007352829,14.2195707638129,3736.04201455077
Mongolia,MNG,2012,46.8940830192974,3.85800076,5.19521,0.23913000524044,17.3195757499293,4328.89001905655
Mongolia,MNG,2013,47.5860682131157,4.08932018,4.94077,0.232460007071495,18.8299051370593,4340.14310544449
Mongolia,MNG,2014,48.6804175336851,4.20989752,4.71485,0.223399996757507,19.7751107933309,4126.23975800524
Mongolia,MNG,2015,50.0825069416898,4.23154545,4.17699,0.156399995088577,21.8889056692574,3838.92126989984
Mongolia,MNG,2016,51.7262924597998,4.58008575,5.18061,0.183449998497963,24.3600537106501,3619.90026383792
Mongolia,MNG,2017,53.5127010854887,4.33954191,4.08859,0.134200006723404,21.408178288545,3645.96708669551
Mongolia,MNG,2018,55.4120963362594,4.53449297,,0.101609997451305,18.78919120846,4107.64288528468
Mongolia,MNG,2019,57.4288259442459,4.49497986,,0.0926999971270561,17.7157115783114,4347.54610314873
Mongolia,MNG,2020,58.9121466009596,4.6662488,,0.133009999990463,16.6134297551342,4001.25193077703
Malaysia,MYS,2000,61.4063888151392,2.51463366,5.97161,0.468989998102188,,4083.52874483605
Malaysia,MYS,2002,59.1995253303348,2.66876554,7.65793,0.652540028095245,,4184.03163773539
Malaysia,MYS,2004,56.8082475537643,2.86016941,5.92389,0.599900007247925,,4939.24851854427
Malaysia,MYS,2006,54.1658567260995,3.10897732,4.48576,0.6110600233078,,6158.40785533236
Malaysia,MYS,2008,51.5703106887847,3.00692558,3.95852,0.788469970226288,,8371.82156086005
Malaysia,MYS,2009,50.217187727247,3.2610569,5.97418,1.01001000404358,,7191.43287234626
Malaysia,MYS,2010,49.0080301479463,3.16474271,4.96645,1.03608000278473,,8899.34505544675
Malaysia,MYS,2011,48.1465198770693,3.31451917,5.76294,1.03341996669769,,10217.1068585031
Malaysia,MYS,2012,47.5176972010419,3.45786357,5.73903,1.09268999099731,,10600.5744240026
Malaysia,MYS,2014,46.452998725794,3.71036959,5.21264,1.2627500295639,,11013.3107334403
Malaysia,MYS,2015,46.0390855919982,3.82201481,4.89487,1.27945005893707,,9648.6797937523
Malaysia,MYS,2016,45.7340885358718,3.70085335,4.75191,1.41516995429993,,9476.53409809923
